SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.9999999,65,0,0.172137078,15202.0,4,0,2,0,0.0
0,0.363808773,44,0,0.214143709,3520.0,7,0,0,0,2.0
0,0.0719982,62,1,0.296681233,8466.0,13,0,1,0,0.0
0,0.0,30,0,0.127236581,1508.0,4,0,0,0,0.0
1,0.061220155,62,0,0.443827809,6666.0,7,0,1,0,3.0
0,0.143949506,40,0,0.206682112,8200.0,11,0,1,0,1.0
0,0.255325629,62,0,0.162729659,8000.0,20,0,0,0,0.0
0,0.971503601,40,1,0.414267016,4583.0,13,0,0,0,2.0
0,0.854518185,55,0,0.348428036,10400.0,7,0,2,0,0.0
0,0.514071779,63,0,0.201478743,5950.0,5,0,2,0,0.0
0,0.003812812,46,0,0.204371076,4300.0,4,0,1,0,0.0
0,0.309314079,46,0,0.275296627,7500.0,8,0,1,0,1.0
0,0.447548008,53,0,0.637652705,4583.0,6,0,3,0,0.0
0,0.0,54,0,0.252223748,16750.0,9,0,2,0,0.0
0,0.99670492,52,0,0.770472895,2600.0,3,0,1,0,0.0
0,0.126727433,30,0,0.006713327,7000.0,4,0,0,0,0.0
0,0.0,47,0,0.705976864,3111.0,5,0,1,0,1.0
0,0.064274945,48,0,0.331954498,2900.0,5,0,1,0,0.0
0,0.004078518,58,1,0.203218117,5033.0,12,0,1,0,1.0
1,0.9999999,57,0,0.298425736,1460.0,1,1,0,0,0.0
0,0.023104675,66,0,0.312531404,9950.0,14,0,2,0,0.0
0,0.9999999,65,1,0.061422414,5567.0,1,0,0,0,0.0
0,0.949881265,63,0,0.388109552,4490.0,7,0,1,0,0.0
0,0.234887367,69,0,0.616633996,7141.0,11,0,2,0,0.0
0,0.01857373,80,0,0.004665889,6000.0,3,0,0,0,0.0
0,0.138574957,62,0,0.375976054,7683.0,11,0,1,0,0.0
0,0.207579049,44,0,0.451689672,2100.0,6,0,0,0,2.0
0,0.860831716,54,0,0.664783427,1061.0,6,0,0,0,1.0
0,0.382590799,47,0,0.368577582,9750.0,5,0,2,0,0.0
0,0.9999999,50,0,0.366141732,5333.0,5,0,1,0,2.0
0,0.660083225,34,0,1.017815421,3423.0,8,0,2,0,1.0
0,0.468949547,43,0,0.627593102,4000.0,7,0,2,0,1.0
0,0.760345836,55,1,0.149838122,9883.0,9,0,0,0,0.0
0,0.0,63,0,0.0,5335.0,4,0,0,0,0.0
0,0.435232272,50,0,0.448959845,6200.0,6,0,1,0,0.0
0,0.0,73,0,0.042253521,2200.0,2,0,1,0,0.0
0,0.055879826,63,0,0.284842049,3766.0,11,0,1,0,0.0
0,0.013070916,72,0,0.01998002,1000.0,8,0,0,0,0.0
0,0.05309991,77,0,0.026986507,2000.0,5,0,0,0,0.0
0,0.98920072,55,0,0.822496263,2675.0,5,0,1,0,0.0
0,0.556721639,27,1,0.551316985,1100.0,5,0,0,0,0.0
0,0.48533755,56,0,1.07996446,2250.0,13,0,1,0,0.0
0,0.517673197,40,1,0.276671557,4770.0,10,0,1,0,1.0
0,0.0,30,0,0.826102048,2880.0,7,0,1,0,1.0
0,0.000693849,40,0,0.001071281,12134.0,6,0,0,0,0.0
0,0.032514794,68,0,0.010576923,5199.0,5,0,0,0,0.0
0,0.062197981,56,0,0.288738128,3684.0,6,0,1,0,1.0
0,0.9999999,57,0,0.18452667,2080.0,1,0,0,0,2.0
0,0.177560071,50,0,1.010695187,7666.0,8,0,3,0,2.0
0,0.874971807,54,3,0.588711855,3702.0,15,1,1,1,2.0
0,0.654362136,40,1,0.599082118,6100.0,9,0,2,0,3.0
0,0.032953048,28,0,0.050173632,8350.0,3,0,0,0,2.0
0,0.023728447,67,0,0.25574885,5000.0,5,0,2,0,0.0
0,0.091710732,37,0,0.263347331,5000.0,8,0,1,0,0.0
1,1.06448683,70,0,0.059512195,1024.0,1,1,0,0,0.0
0,0.006059611,64,0,0.732317988,8666.0,19,0,5,0,0.0
0,0.9999999,51,0,0.219707299,11000.0,2,0,1,0,0.0
0,0.478410323,52,0,0.413765313,6203.0,19,0,1,0,0.0
0,0.035487547,47,0,0.171367113,4183.0,13,0,1,0,1.0
1,0.930243501,41,4,0.325164939,6365.0,6,0,1,1,2.0
0,0.071776741,65,0,0.020995801,5000.0,9,0,0,0,0.0
0,0.201519392,43,0,0.008121278,3693.0,2,0,0,0,1.0
0,0.9999999,50,0,0.148616221,6250.0,11,0,1,0,0.0
0,0.068729607,33,0,0.271182204,4000.0,4,0,1,0,0.0
0,0.058553115,46,0,0.609198686,7000.0,15,0,4,0,2.0
0,0.090691977,64,0,0.080373298,10500.0,12,0,0,0,0.0
0,0.041247965,42,0,0.358473317,8750.0,12,0,2,0,1.0
0,0.102811563,42,3,0.175920571,10373.0,8,0,3,0,4.0
0,0.010531379,57,0,0.280664917,5714.0,6,0,1,0,0.0
0,0.71470382,40,0,0.303580284,10082.0,9,0,1,0,0.0
0,0.168956557,67,0,0.552545308,16166.0,27,0,4,0,0.0
0,0.720682303,36,1,0.126422904,5797.0,6,0,0,0,0.0
0,0.0,62,3,1.585404972,1246.0,7,0,2,0,0.0
0,0.016281461,49,0,0.213961098,5500.0,7,0,1,0,0.0
0,0.457508878,74,0,0.707532861,3955.0,18,0,2,0,1.0
0,0.034544724,41,0,0.402190923,3833.0,14,0,1,0,0.0
0,0.108642811,48,0,0.283612429,10330.0,7,0,2,0,2.0
0,0.016715843,82,1,0.02276513,1800.0,14,0,0,0,0.0
0,0.076262284,57,0,0.564410169,3500.0,8,0,2,0,0.0
0,0.9999999,34,0,0.0,4200.0,2,0,0,0,0.0
0,0.053574831,42,0,0.772091164,2500.0,15,0,1,0,2.0
0,0.210700925,52,0,0.190306947,18569.0,17,0,1,0,3.0
0,0.0,31,0,0.009498813,8000.0,6,0,0,0,0.0
0,0.032309048,37,0,0.004768497,6500.0,1,0,0,0,0.0
1,0.357240251,53,0,0.455006922,4333.0,4,0,1,0,3.0
0,0.67265486,37,0,0.358437146,5297.0,5,0,1,0,3.0
0,0.296689569,23,0,0.007773459,1800.0,2,0,0,0,0.0
0,0.928214357,30,1,0.027000777,5147.0,1,0,0,0,3.0
0,0.827528745,34,1,0.471306923,2700.0,6,0,1,0,2.0
0,0.023453124,51,0,0.421511213,7000.0,6,0,1,0,1.0
0,0.071229452,59,0,0.706850926,3400.0,13,0,2,0,1.0
0,0.080634898,48,0,0.131345763,10833.0,5,0,2,0,4.0
0,0.9999999,92,0,0.056833559,6650.0,2,0,0,0,0.0
0,0.574252926,49,0,0.319736053,3333.0,9,0,1,1,3.0
1,0.871407594,49,5,0.198790979,4300.0,10,0,0,0,4.0
0,0.040916782,34,0,0.053683982,4600.0,4,0,0,0,0.0
0,0.353075464,45,0,0.113449523,3040.0,9,0,0,0,0.0
0,0.052148696,66,0,0.132405633,12000.0,11,0,0,0,0.0
0,0.699218214,36,0,0.486656093,14500.0,17,0,2,0,0.0
0,0.155939706,44,0,0.304157397,14383.0,20,0,3,0,1.0
0,0.429142714,45,0,0.261512223,5276.0,7,0,0,0,2.0
0,0.888740839,41,0,0.214217709,3150.0,2,0,1,0,2.0
0,0.085516648,46,0,0.526863807,2400.0,8,0,2,0,0.0
0,0.0,62,0,0.250205858,8500.0,15,0,1,0,1.0
0,0.24995001,34,0,1245.0,0.0,4,0,2,0,1.0
0,0.031022534,53,0,0.308943089,6149.0,8,0,1,0,0.0
0,0.0,45,0,0.596480704,5000.0,8,0,2,0,2.0
0,0.073933793,54,0,0.169535733,3833.0,10,0,1,0,0.0
0,0.348969935,58,0,0.339102742,7221.0,15,0,2,0,2.0
0,0.207375887,36,0,0.294333985,8700.0,14,0,1,0,3.0
0,0.216995548,62,0,0.383012314,6333.0,10,0,1,0,2.0
1,0.9999999,45,0,0.04041721,2300.0,1,0,0,1,0.0
0,0.308869113,53,0,0.761412862,3000.0,4,0,1,0,1.0
0,0.019444174,52,0,0.124565715,11800.0,6,0,1,0,1.0
0,0.9999999,41,0,0.088205128,5849.0,2,2,0,0,1.0
0,0.04623844,60,1,0.369441724,5104.0,10,0,1,0,2.0
0,0.39333265,33,1,0.849643423,5047.0,18,0,2,0,2.0
0,0.385023465,24,0,0.020483546,2977.0,3,0,0,0,2.0
0,0.570284999,58,0,0.713405239,1946.0,8,0,1,0,0.0
0,0.905821754,63,0,0.843838604,4584.0,20,0,2,0,2.0
0,0.201222779,62,0,0.127781368,10830.0,10,0,1,0,1.0
0,0.123312781,26,0,0.192884446,3400.0,7,0,0,0,0.0
0,0.010303252,74,0,0.003230272,6500.0,5,0,0,0,1.0
0,0.137465634,88,0,0.002285388,7000.0,4,0,0,0,0.0
0,0.0,57,0,0.019025349,18816.0,3,0,0,0,0.0
0,0.419864661,61,1,0.452762466,7800.0,12,0,2,0,1.0
0,0.13740768,58,0,0.451419432,2500.0,5,0,0,0,0.0
0,0.590818363,31,0,0.063085572,1600.0,4,0,0,0,0.0
1,0.782963858,53,0,1.812527765,2250.0,15,0,1,0,3.0
0,0.539064769,63,0,0.402571269,8944.0,6,0,2,0,1.0
0,0.9999999,57,1,0.0,9833.0,0,1,0,0,0.0
0,0.542057243,28,0,0.239655651,3600.0,3,0,0,0,1.0
0,0.795272147,71,0,0.805775501,6440.0,15,0,2,0,0.0
0,0.0,43,0,1.128080415,3083.0,11,0,3,0,0.0
0,0.033505488,72,0,0.125553492,7000.0,8,0,1,0,1.0
0,0.108195877,60,0,0.042139712,24750.0,12,0,1,0,0.0
0,0.9999999,43,0,0.393690291,4500.0,2,0,1,0,2.0
0,0.9999999,34,0,2.401426719,1541.0,3,0,2,0,0.0
0,0.194760012,52,0,0.424556796,7614.0,13,0,2,0,0.0
0,0.169598883,69,0,0.263989015,8738.0,8,0,2,0,0.0
0,0.011499477,55,0,0.001049948,6666.0,2,0,0,0,0.0
0,0.073123172,33,0,0.216405216,5290.0,9,0,0,0,0.0
0,0.901137358,30,0,0.175017643,2833.0,12,0,0,0,0.0
0,0.377958965,54,0,0.50329704,6520.0,21,0,1,0,1.0
0,0.292155767,42,0,0.102598268,1500.0,5,0,0,0,0.0
0,0.920358879,46,0,0.546013694,8616.0,16,0,2,0,2.0
0,0.058627782,70,0,0.017878632,5816.0,3,0,0,0,0.0
0,0.126072916,41,0,0.49214277,8208.0,8,0,2,0,3.0
0,0.070735601,65,0,0.239736502,8500.0,7,0,1,0,0.0
0,0.484424275,51,1,0.550446999,2348.0,6,0,1,0,0.0
0,0.020207127,68,0,0.258616288,3916.0,12,0,2,0,0.0
0,0.0,39,0,0.434932042,6400.0,5,0,1,0,2.0
0,0.326673327,43,0,0.139953349,3000.0,6,0,0,0,0.0
0,0.006046333,65,0,0.002499375,4000.0,8,0,0,0,1.0
0,0.026031418,40,0,0.185507587,8500.0,13,0,2,0,0.0
0,0.016799058,55,0,0.151410546,8400.0,8,0,1,0,0.0
0,0.526031598,59,0,0.229108357,2500.0,5,0,0,0,1.0
0,0.279436028,32,0,0.697638338,5800.0,9,0,2,0,0.0
0,0.052998738,53,2,0.829034193,3333.0,15,0,2,0,0.0
0,0.279030147,33,0,0.596565019,2852.0,6,0,1,0,0.0
0,0.0,69,0,0.285593416,13000.0,8,0,2,0,1.0
0,0.224320871,45,0,0.544829741,3200.0,4,0,1,0,0.0
0,0.707237557,44,3,0.176369569,5822.0,11,0,2,0,1.0
0,0.243764235,39,0,0.516969489,5833.0,6,0,2,0,0.0
1,0.670736765,72,0,0.844503012,2655.0,15,0,2,0,0.0
0,0.0,42,0,0.239923418,9923.0,7,0,2,0,0.0
0,1.003235373,31,0,0.211780729,2936.0,3,0,0,0,0.0
0,0.504768077,42,0,0.951172626,2600.0,6,0,2,0,1.0
0,0.047828685,46,0,0.005463817,8235.0,10,0,0,0,0.0
0,0.011550302,81,0,0.005997601,2500.0,9,0,0,0,1.0
0,0.312463117,72,0,0.963079195,5416.0,17,0,2,0,1.0
0,0.020766155,38,0,0.009453686,11000.0,13,0,0,0,0.0
0,0.629852021,56,0,0.364786735,9166.0,13,0,1,0,1.0
0,0.0,35,0,1.838390967,1416.0,7,0,1,0,0.0
0,0.133203516,65,0,0.230791203,3500.0,3,0,1,0,0.0
0,0.029469465,64,0,1.580698835,600.0,12,0,0,0,0.0
0,0.348783073,49,0,0.418032787,8783.0,12,0,1,0,0.0
0,0.301585491,53,1,0.801351859,2662.0,15,0,2,1,1.0
0,0.08522508,62,0,0.01161103,6200.0,6,0,0,0,0.0
0,0.833917785,81,0,0.643130583,4701.0,19,0,1,0,0.0
0,0.300914381,49,0,0.366512461,6700.0,16,0,1,0,2.0
1,0.153026606,53,3,1.606957217,2500.0,11,0,1,0,0.0
0,0.05606598,46,0,0.158486793,12000.0,6,0,2,0,1.0
0,0.063913318,73,0,0.019135877,8308.0,11,0,0,0,0.0
0,0.149259178,53,0,0.458821026,4698.0,5,0,2,0,1.0
1,0.064198614,55,0,0.306355511,6041.0,12,0,1,0,3.0
0,0.9999999,43,0,0.034010064,5762.0,2,0,0,0,2.0
0,0.02634837,62,0,0.243219598,8000.0,6,0,2,0,0.0
0,0.658068386,25,0,0.332948866,2600.0,5,0,0,0,0.0
0,0.043413692,44,0,0.185678499,16366.0,10,0,2,0,1.0
0,0.861614907,46,3,0.330460265,5800.0,11,0,2,0,1.0
0,0.091381005,41,0,0.275484162,6660.0,13,0,2,0,0.0
0,0.005680079,36,0,0.102342159,9819.0,8,0,0,0,0.0
0,0.192734545,44,1,0.437093818,6000.0,9,0,1,0,0.0
0,0.016910264,56,0,0.223774004,6300.0,10,0,1,0,1.0
0,0.018381237,73,0,0.482313134,3250.0,11,0,1,0,1.0
0,0.19314299,62,0,0.532718894,3254.0,6,0,1,0,3.0
0,0.241168519,83,0,0.357850809,3833.0,13,0,0,0,0.0
0,0.185930741,45,0,0.886971164,4750.0,10,0,2,0,3.0
0,0.184614957,59,0,0.221836085,6905.0,16,1,1,0,1.0
0,0.184486822,38,0,0.408898993,3078.0,4,0,1,0,0.0
0,0.002268958,60,0,0.039090226,57200.0,15,0,2,0,1.0
0,0.310076467,37,0,0.255326195,9058.0,7,0,1,0,0.0
0,0.0,65,1,0.11674402,2800.0,5,0,0,0,2.0
0,0.140766419,45,0,0.78459441,4400.0,11,0,1,0,3.0
0,0.055514338,32,0,0.003062879,16650.0,3,0,0,0,0.0
0,0.188239076,56,0,0.160963245,7100.0,18,0,0,0,1.0
0,0.77420685,45,0,0.442702051,5802.0,7,0,2,0,1.0
0,0.450173603,55,1,0.441412172,4616.0,17,0,1,0,0.0
0,0.0,25,0,0.639464068,820.0,4,0,0,0,0.0
0,0.0,24,0,0.634591961,820.0,3,0,0,0,0.0
0,0.059122167,52,0,0.009039277,12500.0,6,0,0,0,0.0
0,0.372050873,60,0,0.417325465,8980.0,6,0,1,0,0.0
0,0.155894526,57,0,0.632023659,4733.0,12,0,2,0,0.0
0,0.046662778,31,0,0.127235415,3410.0,4,0,0,0,0.0
0,0.155242463,64,0,0.793284259,9916.0,50,0,2,0,1.0
0,0.053324446,69,0,0.39711367,6166.0,8,0,1,0,0.0
0,0.972562195,39,1,0.638067472,2400.0,6,0,1,0,1.0
0,0.0,58,0,0.330160561,10400.0,11,0,2,0,2.0
0,0.007360907,54,0,0.119888011,10000.0,8,0,1,0,1.0
0,0.130922863,42,0,0.345332476,14000.0,15,0,2,0,4.0
0,0.880621877,45,2,1.348988687,2916.0,6,0,2,0,0.0
0,0.635388319,44,1,0.429330591,11666.0,19,0,2,0,4.0
0,0.125838794,76,0,0.138965259,4000.0,3,0,0,0,0.0
0,0.478857724,47,0,0.45668877,9500.0,9,0,3,0,2.0
0,0.021131925,30,2,0.002347418,3833.0,4,0,0,0,0.0
0,0.248455973,41,0,0.131717071,4000.0,5,0,0,0,1.0
0,0.9999999,30,0,0.007773459,1800.0,0,0,0,1,1.0
0,0.06661504,45,0,0.162683732,10000.0,10,0,1,0,2.0
0,0.44831183,44,0,0.449238579,4333.0,10,0,2,0,0.0
0,0.708171454,49,0,0.094654046,7500.0,10,0,0,0,4.0
0,0.041123947,47,1,0.402985075,6297.0,17,0,1,0,0.0
0,0.098667072,52,0,0.566360264,6200.0,13,0,2,0,1.0
0,0.952435366,29,0,0.169707573,4000.0,6,0,0,0,1.0
0,1.045740893,45,0,0.601918465,1250.0,9,0,0,0,0.0
0,0.215488215,89,3,0.437390652,4000.0,8,0,1,0,1.0
0,0.593229738,51,0,0.582527847,10862.0,12,0,2,0,1.0
0,0.871103269,38,0,0.465320742,3070.0,6,0,1,0,1.0
1,0.737315671,50,1,0.216323398,7816.0,5,0,1,0,2.0
0,0.540172991,40,0,0.349465053,10000.0,6,0,2,0,5.0
0,0.0128121,82,0,0.005888126,2037.0,7,0,0,0,0.0
0,0.288179979,37,0,1.866096866,701.0,7,0,0,0,0.0
0,0.0,37,1,0.358163882,4966.0,5,0,2,0,0.0
0,0.341836828,49,0,0.35089694,14214.0,10,0,1,0,4.0
0,0.092529221,44,0,0.638534148,1800.0,6,0,1,0,0.0
0,0.9999999,27,0,0.0,1000.0,0,0,0,0,1.0
0,0.091550469,39,0,0.481172942,3000.0,10,0,1,0,0.0
0,0.058103734,57,0,0.597543559,3500.0,4,0,1,0,1.0
0,0.969515242,32,1,0.166119501,4568.0,3,0,0,0,0.0
0,0.007272066,69,0,0.229149115,4747.0,6,0,1,0,0.0
0,0.730301842,33,0,0.079254815,9500.0,6,0,0,0,0.0
0,0.28061591,41,0,0.255095332,6083.0,4,0,0,0,1.0
0,0.310721863,44,0,0.337154285,20500.0,15,0,2,0,0.0
0,0.008946427,72,0,0.000428541,4666.0,1,0,0,0,0.0
0,0.023693146,73,0,0.003450259,5216.0,5,0,0,0,0.0
0,0.0,36,0,0.106276151,3584.0,2,0,0,1,2.0
0,0.105421041,29,0,0.140039448,2534.0,3,0,0,0,0.0
0,0.054574058,60,0,0.351738241,4400.0,11,0,1,0,0.0
0,0.045330421,58,0,0.423353145,8075.0,11,0,2,0,0.0
0,0.013015496,72,0,0.00595618,4700.0,10,0,0,0,0.0
0,0.059267746,61,0,0.263122813,6000.0,4,0,1,0,0.0
0,0.103462793,25,0,0.760055479,720.0,4,0,0,0,0.0
0,0.101996394,57,0,0.972955842,4732.0,9,0,3,0,3.0
0,3050.0,49,0,0.558573571,6000.0,6,0,2,1,2.0
0,0.040973139,47,0,1.081986336,6000.0,19,0,6,0,0.0
0,0.512280482,41,0,0.480875956,6666.0,7,0,1,0,2.0
0,0.015517465,56,0,0.3739873,13700.0,16,0,2,0,2.0
0,0.244842186,52,1,0.333133373,5000.0,16,0,1,0,2.0
0,0.027998487,27,0,0.337394564,3200.0,7,0,0,0,1.0
0,0.9999999,62,0,0.0,3366.0,4,0,0,0,0.0
0,0.110755031,33,0,0.51497944,5106.0,11,0,1,0,0.0
0,0.0,42,0,0.060381769,7700.0,6,0,0,0,4.0
0,0.018516934,61,0,0.178225451,9083.0,10,0,1,0,0.0
0,0.621406354,42,0,0.417459661,4833.0,9,0,1,0,2.0
0,0.0,43,0,0.066538852,8866.0,6,1,0,0,0.0
0,0.0,51,1,0.424974481,5877.0,7,0,2,0,3.0
0,0.106880866,50,1,0.50589882,5000.0,16,0,2,0,2.0
0,0.008455844,79,0,0.001142748,10500.0,8,0,0,0,0.0
0,0.321239961,51,1,0.495424039,9833.0,12,0,2,0,1.0
0,0.131168217,59,0,0.459955126,10250.0,11,0,1,0,0.0
0,0.295164895,36,0,0.230192452,4000.0,6,0,0,0,0.0
0,0.0,58,0,0.384445866,14066.0,22,0,2,0,0.0
0,0.038931811,59,0,0.004666222,10500.0,11,0,0,0,0.0
0,0.311596621,67,0,0.156186236,5390.0,15,0,0,0,0.0
0,0.013692676,68,0,0.139237392,4064.0,4,0,0,0,1.0
0,0.033218411,71,0,0.038263849,1750.0,6,0,0,0,0.0
0,0.175292356,56,1,0.29908377,4583.0,13,0,1,0,0.0
0,0.601734731,25,0,0.094363723,6262.0,4,0,0,0,1.0
0,0.804688368,40,0,0.596314549,4666.0,19,0,1,0,0.0
0,0.011392245,74,0,36.0,0.0,4,0,0,0,0.0
0,0.91833787,33,0,0.371689712,4266.0,5,0,1,0,2.0
0,0.02636124,48,0,0.25794841,3333.0,2,0,1,0,0.0
0,0.56406602,45,2,1.221755649,5000.0,13,0,5,1,0.0
0,0.016846855,37,0,0.309130067,13000.0,17,0,2,0,2.0
1,0.711191629,66,1,0.321695654,23400.0,21,0,2,0,1.0
0,0.122203704,60,0,0.21922626,14500.0,10,0,1,0,2.0
1,0.156719473,54,0,0.290512669,3393.0,9,0,0,0,0.0
0,0.050579829,55,0,0.202878684,2917.0,9,0,1,0,0.0
0,0.67308194,46,1,1.540666739,9208.0,17,0,5,0,1.0
0,0.352801894,22,0,0.206396802,2000.0,4,0,0,0,0.0
0,0.185065209,52,0,0.286785536,6000.0,19,0,2,0,2.0
0,0.547486313,37,0,0.373222016,3233.0,6,0,0,0,2.0
0,0.143938104,58,0,0.58260206,2620.0,7,0,2,0,2.0
0,0.183427135,46,0,0.212441051,4452.0,6,0,1,0,2.0
0,0.659036556,45,0,0.582854286,4000.0,13,0,2,0,3.0
0,0.967243613,54,0,0.026112916,56944.0,7,0,0,0,3.0
1,0.071297251,78,0,0.679888543,6100.0,12,0,4,0,1.0
0,0.034080639,70,0,0.302339532,5000.0,8,0,1,0,0.0
0,0.069157234,79,0,0.036091801,10500.0,12,0,1,0,0.0
0,0.9999999,68,0,0.323140253,3400.0,3,0,1,0,0.0
0,0.048208648,54,0,0.188037249,8375.0,6,0,1,0,0.0
0,0.004145024,70,0,0.001919846,4166.0,8,0,0,0,0.0
0,0.58921714,56,0,0.8625785,2706.0,12,0,1,0,0.0
0,0.057387502,40,0,0.354257826,5941.0,9,0,1,0,2.0
0,0.9999999,46,0,0.486570893,1600.0,4,0,0,0,0.0
0,0.010936816,44,1,1.21604778,3850.0,13,0,3,0,2.0
0,0.0,52,0,0.234168565,2194.0,9,0,0,0,0.0
0,0.135586362,41,0,0.224106231,4894.0,13,0,0,0,0.0
0,0.822798178,54,0,0.943071369,3600.0,20,3,2,1,1.0
0,1.123932222,56,0,0.357234681,7000.0,8,0,1,0,0.0
0,0.501565979,62,0,0.157475394,6400.0,9,0,0,0,0.0
0,0.0,62,0,0.0,3499.0,3,0,0,0,0.0
0,0.0,29,1,0.236909651,3895.0,5,0,0,0,0.0
0,0.101904459,63,0,0.11971031,14083.0,9,0,2,0,1.0
0,0.0,32,0,0.226733292,1600.0,9,0,0,0,0.0
0,0.059336945,66,0,0.107608799,10500.0,12,0,0,0,1.0
0,0.011535438,67,0,0.318656564,9765.0,16,0,1,0,0.0
0,0.480023529,59,0,0.538910182,6000.0,19,0,1,0,0.0
0,0.016942814,74,0,0.701738194,6500.0,8,0,1,0,0.0
0,0.670236641,43,0,0.153662247,4600.0,3,0,0,0,0.0
0,0.032299024,37,0,0.469006887,4500.0,11,0,1,0,1.0
0,0.110877399,79,0,0.03703018,5400.0,15,0,0,0,0.0
0,0.113498148,54,0,1.043970686,1500.0,13,0,1,0,1.0
0,0.01389861,29,0,0.013168396,2505.0,2,0,0,0,1.0
0,0.513736198,65,1,0.366731308,4640.0,12,0,0,0,0.0
0,0.0,49,0,0.264573991,6912.0,6,0,1,0,0.0
0,0.0,74,0,0.152738904,2500.0,4,0,0,0,0.0
0,0.0,37,0,0.183501137,3078.0,5,0,1,0,1.0
0,0.478436179,61,0,0.119310531,3712.0,4,0,0,0,0.0
0,0.133473719,45,0,0.276802454,5866.0,12,0,0,0,1.0
0,0.041328741,26,0,0.669609079,792.0,3,0,0,0,0.0
0,0.088125842,40,0,1.340770791,2464.0,8,0,3,0,0.0
0,0.160060575,46,1,0.467088819,6000.0,11,0,2,0,1.0
0,0.501872659,33,2,0.547411104,6411.0,8,0,1,0,3.0
1,0.193486915,54,2,0.678680721,2940.0,10,0,2,0,0.0
0,0.206605648,47,0,0.310709479,5200.0,6,0,1,0,2.0
1,0.9999999,38,0,0.0,1000.0,0,0,0,0,1.0
0,0.068661581,31,0,0.152230216,3474.0,7,0,0,0,0.0
0,0.024875151,61,1,0.17550077,6489.0,5,0,1,0,2.0
0,0.029852878,36,0,0.271511827,5833.0,5,0,1,0,1.0
0,0.299128613,76,0,0.209368123,3180.0,2,0,0,0,0.0
0,0.021126933,46,0,0.192972433,7000.0,5,0,1,0,3.0
0,0.95860414,39,0,0.461282265,1200.0,4,0,0,0,3.0
0,0.024999735,47,0,0.525147485,10000.0,16,0,3,0,3.0
0,0.027461516,34,0,0.007859235,88430.0,8,0,0,0,0.0
0,0.023724909,78,0,0.006019701,5481.0,4,0,0,0,0.0
